pmid	ForeName	LastName	Initials	order	Affiliation
31708306	Mikkel V	Petersen	MV	1	Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, USA.
31708306	Jeffrey	Mlakar	J	2	Interactive Commons, Case Western Reserve University, Cleveland, OH, USA.
31708306	Suzanne N	Haber	SN	3	Department of Pharmacology and Physiology, University of Rochester, Rochester, NY, USA.
31708306	Martin	Parent	M	4	Department of Psychiatry and Neuroscience, Universite Laval, Quebec City, QC, Canada.
31708306	Yoland	Smith	Y	5	Department of Neurology, Emory University, Atlanta, GA, USA.
31708306	Peter L	Strick	PL	6	Department of Neurobiology, University of Pittsburgh, Pittsburgh, PA, USA.
31708306	Mark A	Griswold	MA	7	Interactive Commons, Case Western Reserve University, Cleveland, OH, USA.
31708306	Cameron C	McIntyre	CC	8	Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, USA. Electronic address: ccm4@case.edu.
31706697	Eun Jung	Hwang	EJ	1	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA. Electronic address: eunjunghwang.phd@gmail.com.
31706697	Trevor D	Link	TD	2	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Yvonne Yuling	Hu	YY	3	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Shan	Lu	S	4	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Eric Hou-Jen	Wang	EH	5	Biomedical Sciences Graduate Program, University of California, San Diego, La Jolla, CA 92039, USA.
31706697	Varoth	Lilascharoen	V	6	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Sage	Aronson	S	7	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA; Neurophotometrics, San Diego, CA 92121, USA.
31706697	Keelin	O'Neil	K	8	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Byung Kook	Lim	BK	9	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA.
31706697	Takaki	Komiyama	T	10	Neurobiology Section, Center for Neural Circuits and Behavior, and Department of Neurosciences, University of California, San Diego, La Jolla, CA 92093, USA. Electronic address: tkomiyama@ucsd.edu.
31706696	Tali	Weiss	T	1	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel. Electronic address: tali.weiss@weizmann.ac.il.
31706696	Timna	Soroka	T	2	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
31706696	Lior	Gorodisky	L	3	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
31706696	Sagit	Shushan	S	4	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
31706696	Kobi	Snitz	K	5	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
31706696	Reut	Weissgross	R	6	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
31706696	Edna	Furman-Haran	E	7	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel.
31706696	Thijs	Dhollander	T	8	The Florey Institute of Neuroscience and Mental Health, Melbourne, VIC, Australia; The Florey Department of Neuroscience and Mental Health, University of Melbourne, Melbourne, VIC, Australia.
31706696	Noam	Sobel	N	9	The Azrieli National Institute for Human Brain Imaging and Research, Weizmann Institute of Science, Rehovot, Israel; Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel. Electronic address: noam.sobel@weizmann.ac.il.
31704028	Matteo	Fossati	M	1	Institut de Biologie de l'Ecole Normale Supérieure (IBENS), Ecole Normale Supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France.
31704028	Nora	Assendorp	N	2	Institut de Biologie de l'Ecole Normale Supérieure (IBENS), Ecole Normale Supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France.
31704028	Olivier	Gemin	O	3	Institut de Biologie de l'Ecole Normale Supérieure (IBENS), Ecole Normale Supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France.
31704028	Sabrina	Colasse	S	4	Institut de Biologie de l'Ecole Normale Supérieure (IBENS), Ecole Normale Supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France.
31704028	Florent	Dingli	F	5	Institut Curie, PSL Research University, Centre de Recherche, Laboratoire de Spectrométrie de Masse Protéomique, 75248 Paris Cedex 05, France.
31704028	Guillaume	Arras	G	6	Institut Curie, PSL Research University, Centre de Recherche, Laboratoire de Spectrométrie de Masse Protéomique, 75248 Paris Cedex 05, France.
31704028	Damarys	Loew	D	7	Institut Curie, PSL Research University, Centre de Recherche, Laboratoire de Spectrométrie de Masse Protéomique, 75248 Paris Cedex 05, France.
31704028	Cécile	Charrier	C	8	Institut de Biologie de l'Ecole Normale Supérieure (IBENS), Ecole Normale Supérieure, CNRS, INSERM, PSL Research University, 75005 Paris, France. Electronic address: cecile.charrier@ens.fr.
31697921	David H	Gutmann	DH	1	Department of Neurology, Washington University School of Medicine, St. Louis, MO 63110, USA.
31697921	Helmut	Kettenmann	H	2	Cellular Neurosciences, Max-Delbrück Center for Molecular Medicine in the Helmholtz Association, Berlin 13125, Germany. Electronic address: kettenmann@mdc-berlin.de.
31697920	Jerome	Cartailler	J	1	Institut de Biologie de l'École Normale Supérieure, 46 rue d'Ulm, 75005 Paris, France.
31697920	David	Holcman	D	2	Institut de Biologie de l'École Normale Supérieure, 46 rue d'Ulm, 75005 Paris, France; Churchill College, University of Cambridge, Cambridge CB30DS, UK. Electronic address: holcman@biologie.ens.fr.
31697919	Boris	Barbour	B	1	Institut de biologie de l'École normale supérieure (IBENS), École normale supérieure, CNRS, INSERM, PSL University, France. Electronic address: boris.barbour@ens.fr.
31697918	Yongrong	Qiu	Y	1	Institute for Ophthalmic Research, University of Tübingen, Otfried-Müller-Str. 25, 72076 Tübingen, Germany; Centre for Integrative Neuroscience, University of Tübingen, Otfried-Müller-Str. 25, 72076 Tübingen, Germany.
31697918	Thomas	Euler	T	2	Institute for Ophthalmic Research, University of Tübingen, Otfried-Müller-Str. 25, 72076 Tübingen, Germany; Centre for Integrative Neuroscience, University of Tübingen, Otfried-Müller-Str. 25, 72076 Tübingen, Germany. Electronic address: thomas.euler@cin.uni-tuebingen.de.
31697917	Thomas	Preat	T	1	Brain Plasticity Unit, UMR 8249, CNRS, ESPCI Paris, PSL Research University, 10 rue Vauquelin, 75005 Paris, France.
31697917	Pierre-Yves	Plaçais	PY	2	Brain Plasticity Unit, UMR 8249, CNRS, ESPCI Paris, PSL Research University, 10 rue Vauquelin, 75005 Paris, France. Electronic address: pierre-yves.placais@espci.fr.
31697916	Henry A	Lester	HA	1	Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA. Electronic address: lester@caltech.edu.
31697916	Dennis A	Dougherty	DA	2	Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA 91125, USA.
31697915	Joanna	Lipka	J	1	Department of Neuroscience, Genentech, Inc., South San Francisco, CA 94080, USA.
31697915	Casper C	Hoogenraad	CC	2	Department of Neuroscience, Genentech, Inc., South San Francisco, CA 94080, USA. Electronic address: hoogenraad.casper@gene.com.
31679900	Claudia M	Persoon	CM	1	Department of Clinical Genetics, UMC Amsterdam, the Netherlands.
31679900	Rein I	Hoogstraaten	RI	2	Department of Functional Genomics, Center for Neurogenomics and Cognitive Research (CNCR), Vrije Universiteit (VU) Amsterdam, de Boelelaan 1087, 1081 HV Amsterdam, the Netherlands.
31679900	Joris P	Nassal	JP	3	Department of Clinical Genetics, UMC Amsterdam, the Netherlands.
31679900	Jan R T	van Weering	JRT	4	Department of Clinical Genetics, UMC Amsterdam, the Netherlands.
31679900	Pascal S	Kaeser	PS	5	Department of Neurobiology, Harvard Medical School, Boston, USA.
31679900	Ruud F	Toonen	RF	6	Department of Functional Genomics, Center for Neurogenomics and Cognitive Research (CNCR), Vrije Universiteit (VU) Amsterdam, de Boelelaan 1087, 1081 HV Amsterdam, the Netherlands. Electronic address: ruud.toonen@cncr.vu.nl.
31679900	Matthijs	Verhage	M	7	Department of Clinical Genetics, UMC Amsterdam, the Netherlands; Department of Functional Genomics, Center for Neurogenomics and Cognitive Research (CNCR), Vrije Universiteit (VU) Amsterdam, de Boelelaan 1087, 1081 HV Amsterdam, the Netherlands. Electronic address: matthijs@cncr.vu.nl.
31677957	Justin D	Shin	JD	1	Graduate Program in Neuroscience, Brandeis University, Waltham, MA 02453, USA.
31677957	Wenbo	Tang	W	2	Graduate Program in Neuroscience, Brandeis University, Waltham, MA 02453, USA. Electronic address: wbtang@brandeis.edu.
31677957	Shantanu P	Jadhav	SP	3	Graduate Program in Neuroscience, Brandeis University, Waltham, MA 02453, USA; Neuroscience Program, Department of Psychology, and Volen National Center for Complex Systems, Brandeis University, Waltham, MA 02453, USA. Electronic address: shantanu@brandeis.edu.
31676170	Taihong	Wu	T	1	Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.
31676170	Fengyun	Duan	F	2	Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.
31676170	Wenxing	Yang	W	3	Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.
31676170	He	Liu	H	4	Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.
31676170	Antonio	Caballero	A	5	Centre for Developmental Neurobiology, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London SE1 1UL, UK.
31676170	Diana Andrea	Fernandes de Abreu	DA	6	Centre for Developmental Neurobiology, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London SE1 1UL, UK.
31676170	Abdul Rouf	Dar	AR	7	Department of Chemistry, University of Florida, Gainesville, FL 32611, USA.
31676170	Joy	Alcedo	J	8	Department of Biological Sciences, Wayne State University, Detroit, MI 48202, USA.
