year,FALSE,uncertain,TRUE,total multiple authors,both fem %
1945,50,23,0,23,
1946,240,154,0,154,
1947,244,136,0,136,
1948,211,119,0,119,
1949,209,121,0,121,
1950,442,293,0,293,
1951,470,319,0,320,
1952,444,279,0,280,
1953,456,290,0,291,
1954,421,258,0,258,
1955,470,282,0,282,
1956,558,364,0,364,
1957,414,289,0,289,
1958,450,292,0,292,
1959,605,390,0,390,
1960,653,459,0,459,
1961,683,468,0,468,
1962,625,384,0,384,
1963,824,527,0,527,
1964,918,588,0,588,
1965,1077,746,0,746,
1966,1247,868,0,868,
1967,1503,1044,0,1044,
1968,1696,1229,0,1229,
1969,1677,1218,0,1218,
1970,1928,1445,0,1445,
1971,2351,1783,0,1783,
1972,2302,1740,0,1740,
1973,2775,2144,0,2144,
1974,2855,2215,0,2215,
1975,3221,2448,0,2448,
1976,3422,2699,0,2700,
1977,3872,3098,0,3098,
1978,4533,3683,0,3683,
1979,4703,3870,0,3870,
1980,5225,4333,0,4333,
1981,5779,4902,0,4902,
1982,6148,5220,0,5220,
1983,7112,5986,0,5986,
1984,7354,6319,0,6325,
1985,7597,6596,0,6596,
1986,8362,7174,0,7174,
1987,8804,7628,0,7629,
1988,9567,8222,0,8222,
1989,10151,8775,0,8798,
1990,11022,9661,5,9706,0.111111111
1991,11339,9841,1,9890,0.020408163
1992,12512,10849,2,10912,0.031746032
1993,13394,11788,0,11797,
1994,14815,13124,0,13124,
1995,15846,14022,1,14024,0.5
1996,16624,14847,0,14848,
1997,15492,13873,0,13881,
1998,17798,16050,0,16060,
1999,18892,16914,0,16920,
2000,21033,18726,0,18730,
2001,21469,18957,32,19336,0.084432718
2002,22824,9889,762,21052,0.06826122
2003,23904,9522,955,22420,0.074042487
2004,23927,9282,993,22567,0.074745954
2005,26965,10166,1208,25708,0.077724875
2006,27852,11592,1298,26518,0.086962348
2007,28605,11766,1406,27603,0.088779441
2008,30747,12599,1574,29512,0.093064507
2009,30491,12370,1626,29473,0.09507104
2010,31528,12526,1819,30545,0.100948998
2011,34076,13528,1909,32905,0.098518863
2012,34508,13629,2043,33596,0.102318826
2013,36993,14337,2308,36059,0.106251726
2014,38590,15054,2671,38323,0.114787915
2015,38142,15381,2721,38240,0.119034078
2016,39390,15860,2891,39568,0.121941961
2017,39327,15966,2945,39561,0.124814579
2018,41663,17228,3283,42270,0.131099752
2019,36356,15425,2833,36962,0.131541069
