Year,Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
2018,1,NATURE REVIEWS NEUROSCIENCE,"43,107",33.162,0.06847
2018,2,NATURE NEUROSCIENCE,"63,390",21.126,0.16463
2018,3,ACTA NEUROPATHOLOGICA,"20,206",18.174,0.04164
2018,4,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.01025
2018,5,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.04004
2018,6,JOURNAL OF PINEAL RESEARCH,"10,695",15.221,0.01056
2018,7,NEURON,"95,348",14.403,0.21859
2018,8,TRENDS IN NEUROSCIENCES,"20,163",12.314,0.02447
2018,9,Annual Review of Neuroscience,"14,042",12.043,0.01501
2018,10,MOLECULAR PSYCHIATRY,"20,353",11.973,0.04928
2018,11,BRAIN,"52,970",11.814,0.07399
2018,12,BIOLOGICAL PSYCHIATRY,"43,122",11.501,0.05329
2018,13,PROGRESS IN NEUROBIOLOGY,"12,929",10.658,0.01322
2018,14,Nature Human Behaviour,"1,230",10.575,0.00654
2018,15,SLEEP MEDICINE REVIEWS,"6,920",10.517,0.01091
2018,16,ANNALS OF NEUROLOGY,"37,336",9.496,0.04861
2018,17,Molecular Neurodegeneration,"4,248",8.274,0.01135
2018,18,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"26,724",8.002,0.05157
2018,19,FRONTIERS IN NEUROENDOCRINOLOGY,"4,196",7.852,0.00549
2018,20,Neurology-Neuroimmunology & Neuroinflammation,"1,996",7.353,0.00822
2017,1,NATURE REVIEWS NEUROSCIENCE,"40,834",32.635,0.0699
2017,2,NATURE NEUROSCIENCE,"59,426",19.912,0.15357
2017,3,ACTA NEUROPATHOLOGICA,"18,786",15.876,0.04146
2017,4,TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.04076
2017,5,BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.01013
2017,6,Annual Review of Neuroscience,"13,320",14.675,0.01611
2017,7,NEURON,"89,413",14.319,0.21653
2017,8,PROGRESS IN NEUROBIOLOGY,"13,065",14.163,0.01554
2017,9,BIOLOGICAL PSYCHIATRY,"42,495",11.984,0.05687
2017,10,MOLECULAR PSYCHIATRY,"18,460",11.64,0.04716
2017,11,JOURNAL OF PINEAL RESEARCH,"9,079",11.613,0.00864
2017,12,TRENDS IN NEUROSCIENCES,"20,061",11.439,0.02684
2017,13,BRAIN,"52,067",10.848,0.07512
2017,14,SLEEP MEDICINE REVIEWS,"6,080",10.602,0.01072
2017,15,ANNALS OF NEUROLOGY,"37,259",10.25,0.05334
2017,16,Translational Stroke Research,"2,202",8.266,0.00526
2017,17,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"24,279",8.037,0.04844
2017,18,NEUROSCIENTIST,"4,738",7.461,0.00873
2017,19,NEURAL NETWORKS,"10,086",7.197,0.01528
2017,20,FRONTIERS IN NEUROENDOCRINOLOGY,"3,924",6.875,0.00604
2016,1,NATURE REVIEWS NEUROSCIENCE,"36,952",28.88,0.07123
2016,2,NATURE NEUROSCIENCE,"54,399",17.839,0.1604
2016,3,Annual Review of Neuroscience,"13,211",15.63,0.02061
2016,4,TRENDS IN COGNITIVE SCIENCES,"23,273",15.402,0.04629
2016,5,BEHAVIORAL AND BRAIN SCIENCES,"8,195",14.2,0.01092
2016,6,NEURON,"82,253",14.024,0.22658
2016,7,PROGRESS IN NEUROBIOLOGY,"12,163",13.217,0.01798
2016,8,MOLECULAR PSYCHIATRY,"17,452",13.204,0.04958
2016,9,ACTA NEUROPATHOLOGICA,"16,462",12.213,0.03698
2016,10,BIOLOGICAL PSYCHIATRY,"41,859",11.412,0.06732
2016,11,TRENDS IN NEUROSCIENCES,"19,178",11.124,0.02964
2016,12,JOURNAL OF PINEAL RESEARCH,"7,278",10.391,0.00802
2016,13,BRAIN,"48,061",10.292,0.07742
2016,14,ANNALS OF NEUROLOGY,"34,215",9.89,0.05715
2016,15,FRONTIERS IN NEUROENDOCRINOLOGY,"3,516",9.425,0.00659
2016,16,SLEEP MEDICINE REVIEWS,"4,980",8.958,0.00971
