,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,mesh
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,3,0,2,1,1,0,3,3,0,3,2,1,4,3,5,6,4,8,4,11,2,11,9,10,15,14,19,17,13,14,20,29,27,14,10,10,17,12,4,4.493333333333333,Warfarin
0,0,0,0,0,1,0,1,2,1,4,0,2,2,0,2,1,4,0,1,2,4,5,3,7,4,3,13,10,12,19,19,8,17,14,9,12,6,7,10,13,15,7,6,14,16,10,9,14,19,20,13,20,22,27,18,22,20,23,33,31,42,23,39,26,28,37,41,46,47,31,37,30,30,25,1,14.133333333333333,Facial Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,2,6,4,7,7,6,12,12,14,11,19,16,17,18,24,10,15,13,16,9,14,4,0,3.546666666666667,Glycine Plasma Membrane Transport Proteins
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,3,1,1,1,2,1,1,0,0,5,5,2,6,13,6,5,1,2,4,6,10,7,5,10,19,14,12,11,11,7,11,14,11,19,17,16,9,13,18,8,8,16,12,13,13,1,5.026666666666666,Ambulatory Care
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0.13333333333333333,Cytochrome P-450 CYP1B1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,1,0,1,1,2,3,3,1,0,1,2,4,2,1,0,0,1,0,0.4,"Calorimetry, Indirect"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,2,4,0,0,5,5,3,3,2,5,2,11,10,7,9,7,10,12,8,0,1.52,"Receptors, Calcitriol"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,13,8,5,9,7,11,9,15,6,7,11,16,10,12,9,12,11,4,8,10,4,8,6,7,0,3.1733333333333333,"Nystagmus, Optokinetic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,11,14,14,26,38,17,21,38,34,28,45,29,19,30,17,13,18,4,5.746666666666667,Gene Silencing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,Bone Malalignment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,1,1,2,2,4,2,1,2,0,0,1,2,1,2,2,0,2,1,3,0,0,0,1,1,1,1,1,2,0,1,1,0.64,Luria-Nebraska Neuropsychological Battery
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,2,0,4,1,2,7,6,12,9,6,9,14,16,18,20,12,13,24,25,11,19,10,19,26,20,10,17,19,14,22,18,22,18,31,32,22,23,25,36,30,31,45,33,41,25,26,52,3,12.16,Lymphoma
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,4,0,2,1,2,1,1,3,2,2,3,4,9,9,3,4,5,12,10,10,9,12,12,7,11,7,8,0,2.1866666666666665,Rehabilitation Centers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,3,4,6,2,1,4,0,4,1,4,4,5,2,2,6,6,3,2,4,6,0,2,5,5,8,5,9,1,5,4,2,2,7,1,0,0,1,0,1.84,Microvilli
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,14,23,15,29,17,21,27,23,30,33,24,32,27,26,22,19,34,27,26,20,19,18,0,7.413333333333333,Serotonin Agents
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,5,4,3,9,3,2,5,9,10,3,3,4,3,4,0,1.0666666666666667,Sarcoplasmic Reticulum Calcium-Transporting ATPases
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,38,74,80,128,127,164,166,196,237,223,252,352,338,390,391,499,578,596,818,787,835,865,984,936,1021,1065,970,920,975,1131,1042,866,127,242.52,Risk Factors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,10,18,8,6,15,7,11,16,8,14,15,9,21,7,6,11,8,5,14,9,13,16,12,11,8,6,8,12,7,7,7,14,11,16,15,17,7,10,8,12,8,8,10,11,9,8,0,6.586666666666667,Phosphoric Diester Hydrolases
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,1,0,0,1,1,0,0,1,1,1,2,0,1,1,0,1,0,2,6,8,15,15,26,26,31,21,18,18,14,20,20,18,15,14,8,12,10,10,4,4,7,6,3,0,4.906666666666666,Nitrates
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,2,3,1,1,1,1,0,0,0,1,0,0,0,2,1,1,2,0,2,0,3,2,5,2,3,0,1,1,0,0.5333333333333333,Ophthalmic Solutions
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1,1,1,1,1,4,2,2,4,5,8,4,2,4,0,0.64,Ribosomal Protein S6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,8,10,8,17,6,26,25,30,53,47,60,56,91,118,116,87,100,121,124,111,138,191,198,207,195,238,257,260,279,280,347,384,438,429,445,439,452,488,275,242,222,226,211,208,210,173,26,115.69333333333333,Cell Line
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,3,3,3,6,5,5,10,3,6,3,5,5,13,16,11,14,19,21,23,18,15,3,0,2.9466666666666668,Methyl Ethers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,1,2,0,1,1,1,2,2,1,0,3,1,1,4,2,0,2,1,0,0.44,"Diet, Fat-Restricted"
0,1,0,0,0,0,0,1,0,0,1,1,0,2,1,2,1,0,0,3,2,2,2,5,4,9,10,7,6,10,8,17,8,12,13,3,11,8,10,8,8,19,9,11,13,6,12,9,10,22,23,26,33,24,30,33,40,43,43,56,58,63,86,62,84,140,125,104,90,117,114,133,120,109,103,9,28.733333333333334,Speech
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,4,6,1,3,2,2,3,3,3,4,3,5,3,6,4,3,3,4,7,6,1,2,4,3,8,10,6,23,20,13,24,24,21,22,27,29,37,33,19,19,12,3,13,9,5,0,6.24,Dietary Fats
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,0,0,0,1,1,0,2,0,1,1,2,3,5,2,1,5,1,4,0,2,1,2,3,2,4,2,3,2,2,4,1,2,2,1,1,3,0,1.0266666666666666,Maxillary Sinus
0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,2,0,0,0,1,2,1,2,4,3,1,0,9,5,4,6,6,5,7,7,4,1,3,4,11,2,1,1,6,6,8,6,9,5,9,7,7,5,14,15,9,27,24,20,41,26,36,30,32,22,33,29,16,25,19,19,20,23,5,8.666666666666666,Diabetes Complications
0,0,0,0,1,1,0,3,4,0,3,3,4,0,0,2,5,3,2,1,0,8,34,29,57,40,39,60,77,59,98,82,83,67,119,105,185,127,107,187,159,201,258,292,313,275,375,463,432,539,499,608,580,653,736,781,905,982,962,829,794,655,809,866,790,752,727,596,460,432,319,312,208,193,179,31,274.1333333333333,embryology
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,3,1,4,1,2,1,0,0,1,1,2,1,3,3,0,0,1,1,1,0,0.48,Arm Injuries
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.10666666666666667,Wrestling
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,3,7,8,5,4,0,0.5466666666666666,Transcytosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,1,0,0,1,0,1,0,4,1,3,1,0,0,0,0,5,1,8,8,6,15,4,4,0,1,2,1,3,3,4,3,2,8,5,1,6,1,4,0,1,0,2,0,1.5466666666666666,Basal Metabolism
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2,0,2,2,3,4,3,4,1,1,1,0,0.4266666666666667,Drama
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,16,24,58,36,48,54,71,60,88,116,106,108,120,104,99,103,117,63,32,4,19.253333333333334,Evidence-Based Medicine
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,3,2,4,8,6,8,10,9,25,19,19,18,32,20,19,24,21,33,21,37,42,34,35,12,6.32,"Emergency Service, Hospital"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.04,Hamstring Tendons
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,6,0,2,3,1,0,0.25333333333333335,Volatile Organic Compounds
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,4,0,0,5,1,1,4,2,2,0,0.4,Split-Brain Procedure
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,4,19,2,2,12,5,9,3,11,13,27,5,14,8,6,13,10,14,3,0,0,1,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,5,5,9,5,3.0533333333333332,Organoids
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,2,2,0,0.14666666666666667,"Pregnancy, Twin"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,3,2,1,1,1,1,0,2,2,1,2,2,0,2,2,8,4,6,2,2,7,3,8,10,8,2,4,4,7,10,0,1.52,Tissue and Organ Procurement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,443,912,1045,1071,1051,1017,1137,1181,1270,1234,1265,1292,1327,1272,1446,1533,1510,1500,1380,1254,1255,1157,1181,1133,1077,864,790,72,422.4266666666667,"Rats, Wistar"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,1,2,3,2,2,1,8,19,3,6,14,6,16,14,11,15,6,8,7,8,3,6,5,4,5,1,2.453333333333333,Dyneins
