,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Renal Insufficiency,Syphilis,Penicillins,Sutures,Color Vision,Neoplasms,Disease,Disease,Disease,Tuberculosis,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Pathology,Pharmacology,Pharmacology,"Anatomy, Comparative",Diet Therapy,Glucosyltransferases,Esters,History of Medicine,Carbon Isotopes,Pneumoencephalography,Esters,"Spectrophotometry, Ultraviolet","Depression, Chemical",Dystonia Musculorum Deformans,Biometry,Isotope Labeling,Isotope Labeling,Organoids,Drug Antagonism,Muridae,Muridae,"Enkephalin, Leucine-2-Alanine",Immunochemistry,Immunochemistry,Benserazide,Wheat Germ Agglutinins,Trazodone,Dialysis,Dialysis,Dialysis,"Receptors, Amino Acid",Molecular Probes,Molecular Probes,Computer Communication Networks,Pharyngeal Muscles,Antisense Elements (Genetics),Antisense Elements (Genetics),Catchment Area (Health),"Receptors, Serotonin, 5-HT1",Heterotrimeric GTP-Binding Proteins,Hydroxymethylglutaryl CoA Reductases,Life Tables,Expert Testimony,Color Perception Tests,Organogenesis,Access to Information,Neuronal Tract-Tracers,"Antibodies, Neutralizing","Influenza A Virus, H1N1 Subtype",Real-Time Polymerase Chain Reaction,Real-Time Polymerase Chain Reaction,Genotyping Techniques,Ventral Striatum,"Brain Injuries, Traumatic",Zika Virus,Correlation of Data,ADAM10 Protein
1,Tantalum,Dilatation,Fluorides,Tantalum,Subthalamus,Tantalum,Bone and Bones,Bone and Bones,Psychosurgery,Disease,Polyarteritis Nodosa,Medical Records,Medical Records,Medical Records,Tranquilizing Agents,Medical Records,Medical Records,Electrons,Electrons,Pathology,Metabolism,Photomicrography,Encephalomalacia,"Anatomy, Comparative",Tectum Mesencephali,Spectrophotometry,Organoids,Carbon Isotopes,Carbon Isotopes,"Chromatography, Ion Exchange",Acetyltransferases,History of Medicine,Vascular Headaches,Neoplasm Metastasis,Lipofuscin,Galago,Endorphins,Gastrointestinal Hormones,Iopamidol,Vas Deferens,"2',3'-Cyclic Nucleotide 3'-Phosphodiesterase","Enkephalin, Leucine-2-Alanine",Oleic Acid,Fenfluramine,Oxadiazoles,Toxicology,Wheat Germ Agglutinins,"Receptors, Amino Acid",RNA Probes,Meglumine,"Hospitals, General",Molecular Probes,Computer Communication Networks,alpha 1-Antichymotrypsin,"Receptors, Serotonin, 5-HT1","Receptors, Serotonin, 5-HT1",Cell Compartmentation,Patients,Enzyme Activators,Case Management,Demography,Peptide Hormones,"Dose-Response Relationship, Radiation","Vision, Low",Inheritance Patterns,Neuronal Tract-Tracers,Epigenomics,Early Medical Intervention,Symptom Assessment,Patient Outcome Assessment,Dorsal Raphe Nucleus,Zika Virus Infection,Patient Reported Outcome Measures,Mental Status and Dementia Tests,Neurologists
2,Hemosiderin,Sutures,Tantalum,Communicable Diseases,Hemispherectomy,Myxoma,Neoplasms,Torso,Cortisone,"Tuberculosis, Meningeal",Poisoning,Torso,Torso,Neurochemistry,Neurochemistry,Equipment and Supplies,Blood Circulation,Medical Records,Geriatrics,Electrons,Electrons,History of Medicine,"Anatomy, Comparative",Tectum Mesencephali,Carbon Isotopes,Carbon Isotopes,Vasomotor System,Glucosyltransferases,"Anatomy, Comparative","Epilepsy, Post-Traumatic",Peroxidases,Biometry,History of Medicine,Arterioles,Vascular Headaches,Castration,Antigen-Antibody Complex,Outcome and Process Assessment (Health Care),Antigen-Antibody Complex,Antigen-Antibody Complex,Benzodiazepinones,"Enkephalin, Leucine",Immunochemistry,Somatomedins,"Receptors, Neurotransmitter","Receptors, Neurotransmitter","Rats, Inbred Strains",Paraffin Embedding,Dialysis,Blood Physiological Phenomena,RNA Probes,Epitope Mapping,Basal Metabolism,GTP Cyclohydrolase,Chemokine CCL4,Heterotrimeric GTP-Binding Proteins,Basigin,Enzyme Activators,Synucleins,Transplants,Peroxides,Plasma Membrane Calcium-Transporting ATPases,Central Nervous System Fungal Infections,Expressed Emotion,Biophysics,"Influenza A Virus, H1N1 Subtype",Venous Insufficiency,Post-Synaptic Density,Patient Outcome Assessment,Surgeons,Exome,Motor Disorders,Zika Virus Infection,Virtual Reality,Correlation of Data
3,Disulfides,Neurosyphilis,Abscess,"Wings, Animal",Ear,Psychosurgery,Toxoplasma,Tantalum,Torso,Wounds and Injuries,Torso,Pigmentation,Vaccines,Tranquilizing Agents,Medical Records,Electrons,Cardiovascular System,"Psychology, Child",Tay-Sachs Disease,Physiology,Pathology,Sphingomyelins,Glucosyltransferases,History of Medicine,History of Medicine,Histological Techniques,Glucosyltransferases,Xenon,Pneumoencephalography,Pneumoencephalography,Myotonia,Acetyltransferases,Drug Evaluation,Pneumoencephalography,Aminooxyacetic Acid,Peroxidases,Vascular Headaches,Benztropine,Gastrointestinal Hormones,"Enkephalin, Leucine",Endorphins,Trazodone,Metoclopramide,Inositol Phosphates,"Rats, Inbred Strains","Receptors, Amino Acid",Adrenal Gland Neoplasms,Neuromuscular Depolarizing Agents,Molecular Probes,Premedication,Excitatory Amino Acids,Antibody Specificity,Cyclins,Calcium-Calmodulin-Dependent Protein Kinases,3T3 Cells,Cuba,Heterotrimeric GTP-Binding Proteins,Synucleins,Response Elements,Synucleins,"Dose-Response Relationship, Radiation",Paintings,Metabolic Networks and Pathways,Sensory System Agents,Photomicrography,Yawning,Immunomodulation,Primary Cell Culture,Channelrhodopsins,Craving,Genotyping Techniques,Clinical Decision-Making,"Antineoplastic Agents, Immunological","Antineoplastic Agents, Immunological",Induced Pluripotent Stem Cells
4,Arthrogryposis,"Lens, Crystalline",Nervous System Physiological Phenomena,Neoplasms,Psychosurgery,Neurotic Disorders,Brucellosis,Polyarteritis Nodosa,Hibernation,Hibernation,Congenital Abnormalities,Color Vision,Neurochemistry,Accidents,Torso,Nervous System Physiological Phenomena,Electrons,Equipment and Supplies,Pharmacology,Anatomy,Diagnosis,Methanol,History of Medicine,Spectrophotometry,Myofibrils,"Anatomy, Comparative",Xenon,Mercury Poisoning,Acetyltransferases,Hexosaminidases,Myofibrils,Aminooxyacetic Acid,Anura,Aminobutyrates,Carboxy-Lyases,4-Aminobutyrate Transaminase,Adrenal Insufficiency,Quipazine,Iohexol,Endorphins,"Enkephalin, Leucine-2-Alanine",Endorphins,Morphinans,"Rats, Inbred Strains",HTLV-I Infections,Atrial Natriuretic Factor,Meglumine,RNA Probes,"Receptors, Neurokinin-2","Plants, Medicinal","Repetitive Sequences, Nucleic Acid",Excitatory Amino Acids,"Receptors, Endothelin",HSP72 Heat-Shock Proteins,Quantum Theory,Specific Pathogen-Free Organisms,Ion Transport,Sampling Studies,Basigin,"Liability, Legal","Food, Formulated","Dose-Response Relationship, Radiation",Neuroepithelial Cells,"Chromosomes, Artificial, Bacterial",Cytoprotection,Stem Cell Niche,Longitudinal Ligaments,Arthropod Antennae,Chemoradiotherapy,Voltage-Gated Sodium Channels,Ependymoglial Cells,Neuronal Outgrowth,Propensity Score,Machine Learning,Virtual Reality
5,Pancreas,Tantalum,Neurosyphilis,Syphilis,Neoplasms,Poliomyelitis,Paranasal Sinuses,Angiomatosis,Hemispherectomy,Tay-Sachs Disease,Cortisone,Neoplasms,Enzymes,Color Vision,"Paralyses, Familial Periodic",Polyarteritis Nodosa,Thrombosis,Tranquilizing Agents,Research,Metabolism,Research,Diffuse Cerebral Sclerosis of Schilder,Dreams,Cerebral Ventriculography,Phosphorus Isotopes,Myofibrils,Iodine Isotopes,Thyroid Function Tests,"Chromatography, Gas",Carbon Radioisotopes,Aminooxyacetic Acid,Tranquilizing Agents,Fibroma,"Ganglia, Autonomic",Chondroma,Penicillin G,Isoniazid,Castration,Castration,Benzodiazepinones,Chemical Phenomena,Flunarizine,"Rats, Inbred Strains",Morphinans,Particle Accelerators,"Rats, Inbred Strains","Receptors, Amino Acid",Fibroblast Growth Factor 1,"Antigens, Differentiation, T-Lymphocyte",Quercetin,Base Sequence,Meglumine,AIDS-Related Opportunistic Infections,Neuregulins,Catchment Area (Health),3T3 Cells,"Sleep Disorders, Circadian Rhythm",Endpoint Determination,Mitogen-Activated Protein Kinases,European Union,Nurse's Role,Mutant Proteins,SMN Complex Proteins,"Dose-Response Relationship, Radiation",Weightlessness,Comparative Genomic Hybridization,Implantable Neurostimulators,Checklist,Tissue Array Analysis,Prepulse Inhibition,Central Amygdaloid Nucleus,Basal Forebrain,Cognitive Aging,Pedicle Screws,Mental Status and Dementia Tests
6,Carbon,Military Medicine,Sutures,Bone and Bones,Ear Neoplasms,Tuberculosis,Amputees,Neoplasms,Tuberculosis,Abscess,Hibernation,Genetics,Tuberculosis,Gamma Rays,Electron Transport Complex II,Paraganglioma,Neurochemistry,Radiometry,Toxicology,Research,Toxicology,Radiometry,Phosphorus Isotopes,Carbon Isotopes,Glucosyltransferases,Colorimetry,Myofibrils,Dihydroxyphenylalanine,"Spectrophotometry, Ultraviolet",Phosphorus Radioisotopes,Pneumoencephalography,Sarcoplasmic Reticulum,Tranquilizing Agents,Ribosomes,Harmaline,Lipofuscin,4-Aminobutyrate Transaminase,"Receptors, Adrenergic",Outcome and Process Assessment (Health Care),Dibenzazepines,Chorionic Gonadotropin,Mycoses,Endarterectomy,Immunoassay,Orthopedic Fixation Devices,Adrenal Gland Neoplasms,"Receptors, Neurotransmitter","Epilepsy, Frontal Lobe",MERRF Syndrome,Base Sequence,AIDS-Related Opportunistic Infections,alpha 1-Antichymotrypsin,Curriculum,Receptor Protein-Tyrosine Kinases,"Chromosomes, Human, Pair 8","Receptors, Pituitary Hormone",Fetal Proteins,"Receptors, Serotonin, 5-HT1",Public Opinion,Color Vision Defects,Ectodysplasins,Mitochondrial Membranes,Unconscious (Psychology),Deception,Space Flight,Coronary Angiography,Chromatin Immunoprecipitation,Magnetic Fields,"Child Development Disorders, Pervasive",Protein Aggregates,Gamma Rhythm,Neurological Rehabilitation,Computed Tomography Angiography,Neurologists,"Antineoplastic Agents, Immunological"
7,Bone and Bones,"Wounds, Penetrating",Hernia,Hypersensitivity,Pick Disease of the Brain,Hysteria,Osteitis Deformans,Pharmaceutical Preparations,Aneurysm,Torso,Polymyositis,Glossopharyngeal Nerve Diseases,Angiomatosis,Hemorrhage,Psychopathology,Torso,Vascular Headaches,Neurochemistry,Physiology,Toxicology,Radiometry,London,Myofibrils,Nissl Bodies,Poisoning,Crustacea,Glucosamine,Glucosephosphate Dehydrogenase,Surface-Active Agents,Galactose,Pimozide,Pimozide,Lipofuscin,Endothelium,Contusions,"Receptors, Histamine H2",Hydroxydopamines,Endorphins,Blood Viscosity,Nucleotidases,Blood Physiological Phenomena,Melanocyte-Stimulating Hormones,Neurokinin B,Thiazepines,Intermediate Filaments,Poly A,Mesoderm,Hemodilution,Granulocytes,"Receptors, Endothelin","Toxoplasmosis, Cerebral",RNA Probes,"Receptors, Antigen, T-Cell, alpha-beta",Carcinogens,Calcium-Calmodulin-Dependent Protein Kinases,Data Display,Thiolester Hydrolases,Cell Compartmentation,"Receptors, Purinergic P2Y1",Color Perception Tests,Causality,"Chemokines, CXC","Urinary Incontinence, Urge",Retinal Horizontal Cells,Adult Stem Cells,Afghan Campaign 2001-,Opsins,"Stroke, Lacunar",Central Nervous System Sensitization,Mindfulness,Publication Bias,Zika Virus,Neuronal Outgrowth,Gastrointestinal Microbiome,Qualitative Research
8,Neurotic Disorders,Neoplasms,Isoflurophate,Cordotomy,Orthopedics,Foramen Magnum,Tantalum,Hibernation,Neoplasms,Cortisone,Contracture,Enzymes,Neoplasms,Pharmaceutical Preparations,Plasma Cells,Apraxias,Body Fluids,supply &amp; distribution,Metabolism,Diagnosis,Anatomy,Biological Assay,Cytoplasmic Granules,Neurosecretion,Sphingomyelins,Acyltransferases,Uridine,"Chromatography, Gas",Cyclohexanes,"Depression, Chemical",Catalysis,Nitrosourea Compounds,Measles virus,Empty Sella Syndrome,Organoids,Polyribosomes,Aldehyde Oxidoreductases,Pimozide,Tranylcypromine,"Dyslexia, Acquired","Enkephalin, Leucine","Rats, Inbred Strains",Adrenal Gland Neoplasms,"Antigens, Differentiation, T-Lymphocyte",Wheat Germ Agglutinins,Pheochromocytoma,Peritoneum,"Receptors, Gastrointestinal Hormone",Fetal Tissue Transplantation,"Repetitive Sequences, Nucleic Acid",Meglumine,Base Sequence,DNA Fragmentation,DNA Fragmentation,"GTP-Binding Protein alpha Subunits, Gs",Insect Proteins,Organic Anion Transporters,Cuba,Cyclin-Dependent Kinases,Inhibitory Concentration 50,Drug Interactions,Protein Interaction Mapping,Channelopathies,Sodium Potassium Chloride Symporter Inhibitors,"Vision, Low",Military Medicine,Neuropsychiatry,Retinal Neurons,Venous Insufficiency,Accelerometry,Prepulse Inhibition,Arterial Pressure,Virtual Reality,Patient Reported Outcome Measures,Gastrointestinal Microbiome
9,Eye Abnormalities,Penicillins,Asphyxia,Renal Insufficiency,Disease,Pylorus,Tuberculosis,Platybasia,Choroid,Fistula,Dermatomyositis,Neurochemistry,Cortisone,Phosphorus Radioisotopes,Hydrophobic and Hydrophilic Interactions,Neoplasms,Nerve Tissue,Osteoma,Electron Transport Complex II,Geriatrics,History of Medicine,Nutritional Physiological Phenomena,Diffuse Cerebral Sclerosis of Schilder,Encephalomalacia,Tibia,Tectum Mesencephali,Pneumoencephalography,"Reflex, Monosynaptic",Evaluation Studies as Topic,Ketoglutaric Acids,Sarcoplasmic Reticulum,Drug Evaluation,Glucosamine,Microvilli,Hydroxybutyrates,Prejudice,Castration,Platelet Aggregation,Flunitrazepam,Speech Production Measurement,Hydroxydopamines,"Receptors, Angiotensin",Poly A,Acquired Immunodeficiency Syndrome,Multiple Trauma,"Sequence Homology, Nucleic Acid",Intermediate Filaments,"Receptors, Neurotransmitter","Genes, fos",Zidovudine,Oncorhynchus mykiss,MEDLINE,"Anatomy, Artistic",Amyloid Neuropathies,Neurturin,Chemokine CCL4,Nitrogen Oxides,Interleukin-12,Organic Anion Transporters,Peroxynitrous Acid,Review Literature as Topic,Information Storage and Retrieval,Sickness Impact Profile,Inheritance Patterns,Central Nervous System Agents,Automation,Electrochemical Techniques,International Classification of Diseases,Mechanical Thrombolysis,Multimodal Imaging,Information Dissemination,Neuroprotection,"Protein Aggregation, Pathological",Neurosurgeons,Nesting Behavior
