year,paper count,country count
1945,50,3
1946,240,4
1947,244,4
1948,211,3
1949,209,3
1950,442,5
1951,471,5
1952,446,5
1953,462,4
1954,423,4
1955,471,5
1956,560,4
1957,414,5
1958,451,5
1959,605,5
1960,653,5
1961,684,6
1962,625,3
1963,824,6
1964,918,7
1965,1078,7
1966,1251,6
1967,1507,7
1968,1704,8
1969,1686,8
1970,1933,9
1971,2355,10
1972,2304,10
1973,2787,10
1974,2864,10
1975,3225,12
1976,3433,11
1977,3897,11
1978,4571,12
1979,4738,11
1980,5247,11
1981,5791,11
1982,6176,11
1983,7137,12
1984,7393,11
1985,7699,11
1986,8494,12
1987,8939,12
1988,9719,13
1989,10296,13
1990,11209,12
1991,11552,13
1992,12707,13
1993,13612,14
1994,15094,14
1995,16123,17
1996,16910,17
1997,15698,17
1998,18069,16
1999,19197,16
2000,21509,17
2001,21864,18
2002,23918,18
2003,25497,18
2004,25514,20
2005,28753,21
2006,31862,22
2007,32913,24
2008,35138,24
2009,35222,25
2010,36672,25
2011,39464,27
2012,39933,27
2013,43218,27
2014,44925,27
2015,44487,27
2016,45733,26
2017,45704,27
2018,48179,28
2019,42201,33
